weather_main;Tipo;Operador;Valor;Recomendación_Base
Haze;temp;entre;umbral_frio,umbral_calido;Día opaco por calima, realiza actividades en interiores.
Haze;temp;entre;umbral_min,umbral_frio;Calima con frío, cuida tu sistema respiratorio.
Haze;temp;<;umbral_min;Alta concentración de partículas, quédate en casa.
Dust;temp;>;umbral_max;Polvo y calor, usa protección respiratoria y evita exponerte.
Dust;temp;entre;umbral_calido,umbral_max;Ambiente polvoriento, limita tu tiempo al aire libre.
Dust;temp;entre;umbral_frio,umbral_calido;Día con polvo suspendido, mantente en espacios cerrados.
Dust;temp;entre;umbral_min,umbral_frio;Clima frío y seco con polvo, evita contacto con ojos o piel.
Dust;temp;<;umbral_min;Muy poco recomendable estar fuera, protege tu salud.
Fog;temp;>;umbral_max;Niebla espesa y calor, visibilidad reducida, no conduzcas largas distancias.
Fog;temp;entre;umbral_calido,umbral_max;Niebla leve con temperatura templada, buena idea quedarse en casa.
Fog;temp;entre;umbral_frio,umbral_calido;Día fresco con niebla, ideal para actividades en lugares cerrados.
Fog;temp;entre;umbral_min,umbral_frio;Niebla densa y frío, evita conducir o andar en bici.
Fog;temp;<;umbral_min;Niebla muy espesa y helada, condiciones peligrosas.
Ash;temp;>;umbral_max;Ceniza y calor, usa mascarilla y permanece en interiores.
Ash;temp;entre;umbral_calido,umbral_max;Posible caída de ceniza, evita actividades al aire libre.
Ash;temp;entre;umbral_frio,umbral_calido;Riesgo moderado, mantente informado y resguardado.
Ash;temp;entre;umbral_min,umbral_frio;Condiciones malas por ceniza y frío, no salgas si no es necesario.
Ash;temp;<;umbral_min;Riesgo severo por ceniza y frío extremo, quédate en casa.
Squall;temp;>;umbral_max;Ráfagas de viento y calor, ten cuidado con objetos sueltos
Squall;temp;entre;umbral_calido,umbral_max;Viento fuerte y cálido, evita lugares con árboles o estructuras inestables.
Squall;temp;entre;umbral_frio,umbral_calido;Día inestable con ráfagas, evita andar en bicicleta o moto.
Squall;temp;entre;umbral_min,umbral_frio;Viento fuerte y frío, abrígate bien y limita la exposición.
Squall;temp;<;umbral_min;Ráfagas intensas con mucho frío, no es recomendable salir.
